value	HGNC ID
ACOT12	HGNC:24436
ACOT13	HGNC:20999
ACOX1	HGNC:119
ACOX2	HGNC:120
ACOX3	HGNC:121
ACOXL	HGNC:25621
ACOXL-AS1	HGNC:41112
ACP1	HGNC:122
ACP2	HGNC:123
ACP3	HGNC:125
ACP4	HGNC:14376
ACP5	HGNC:124
ACP6	HGNC:29609
ACP7	HGNC:33781
ACR	HGNC:126
ACRBP	HGNC:17195
ACRP1	HGNC:54745
ACRV1	HGNC:127
ACSBG1	HGNC:29567
ACSBG2	HGNC:24174
ACSF2	HGNC:26101
ACSF3	HGNC:27288
ACSL1	HGNC:3569
ACSL3	HGNC:3570
ACSL3-AS1	HGNC:40227
ACSL3P1	HGNC:56529
ACSL4	HGNC:3571
ACSL5	HGNC:16526
ACSL6	HGNC:16496
ACSL6-AS1	HGNC:40772
ACSM1	HGNC:18049
ACSM2A	HGNC:32017
ACSM2B	HGNC:30931
ACSM3	HGNC:10522
ACSM4	HGNC:32016
ACSM5	HGNC:26060
ACSM5P1	HGNC:51295
ACSM6	HGNC:31665
ACSS1	HGNC:16091
ACSS2	HGNC:15814
ACSS3	HGNC:24723
ACTA1	HGNC:129
ACTA2	HGNC:130
ACTA2-AS1	HGNC:45169
ACTB	HGNC:132
ACTBL2	HGNC:17780
ACTBP1	HGNC:134
ACTBP2	HGNC:135
ACTBP3	HGNC:136
ACTBP4	HGNC:137
ACTBP6	HGNC:139
ACTBP7	HGNC:140
ACTBP8	HGNC:141
ACTBP9	HGNC:142
ACTBP10	HGNC:31819
ACTBP11	HGNC:33971
ACTBP12	HGNC:150
ACTBP14	HGNC:45086
ACTBP15	HGNC:55065
ACTBP16	HGNC:56590
ACTC1	HGNC:143
ACTE1P	HGNC:51491
ACTG1	HGNC:144
ACTG1P1	HGNC:146
ACTG1P2	HGNC:147
ACTG1P3	HGNC:148
ACTG1P4	HGNC:149
ACTG1P6	HGNC:151
ACTG1P7	HGNC:152
ACTG1P8	HGNC:153
ACTG1P9	HGNC:154
ACTG1P10	HGNC:155
ACTG1P11	HGNC:37651
ACTG1P12	HGNC:44496
ACTG1P13	HGNC:49058
ACTG1P14	HGNC:49751
ACTG1P15	HGNC:51495
ACTG1P16	HGNC:51496
ACTG1P17	HGNC:51497
ACTG1P18	HGNC:51498
ACTG1P19	HGNC:51499
ACTG1P20	HGNC:51500
ACTG1P21	HGNC:51501
ACTG1P22	HGNC:51502
ACTG1P23	HGNC:51503
ACTG1P24	HGNC:49661
ACTG1P25	HGNC:54872
ACTG2	HGNC:145
ACTL6A	HGNC:24124
ACTL6B	HGNC:160
ACTL7A	HGNC:161
ACTL7B	HGNC:162
ACTL8	HGNC:24018
ACTL9	HGNC:28494
ACTL10	HGNC:16127
ACTL11P	HGNC:44626
ACTMAP	HGNC:24758
ACTN1	HGNC:163
ACTN1-DT	HGNC:20131
ACTN2	HGNC:164
ACTN3	HGNC:165
ACTN4	HGNC:166
ACTN4P1	HGNC:44028
ACTN4P2	HGNC:44032
ACTP1	HGNC:51621
ACTR1A	HGNC:167
ACTR1AP1	HGNC:54703
ACTR1B	HGNC:168
ACTR2	HGNC:169
ACTR3	HGNC:170
ACTR3-AS1	HGNC:53965
ACTR3B	HGNC:17256
ACTR3BP1	HGNC:37724
ACTR3BP2	HGNC:38677
ACTR3BP3	HGNC:38678
ACTR3BP4	HGNC:38681
ACTR3BP5	HGNC:38682
ACTR3BP6	HGNC:38683
ACTR3BP7	HGNC:54971
ACTR3C	HGNC:37282
ACTR3P1	HGNC:31820
